siteName,siteStatus,siteState,siteAddress,siteZip,daysofOperation,lunchTime,_geoloc/lat,_geoloc/lng
Washtucna Elementary/Highschool,Open,WA,"730 Booth Ave, Washtucna, WA ",,"M,T,W,TH",10:45 a.m. to 11: 45 a.m,,
Wahitis Elementary School,Open,WA,"905 14th Ave, Othello, WA 99344",99344,"M,T,W,TH",11:00 a.m to 12:30 p.m,46.8187381,-119.1545548
Hiawatha Elementary School,Open,WA,"506 7th Ave, Othello, WA ",,"M,T,W,TH",11:00 a.m to 12:30 p.m,,
Othello High School,Open,WA,"340 7th Ave, Othello, WA ",,"M,T,W,TH",11:00 a.m to 12:30 p.m,,
Grantham Elementary,Open,WA,"1253 Poplar St, Clarkston, WA 99403",99403,"M,T,W,TH",7:30-9:00 a.m. and 11:30-12:30 p.m,46.4181089,-117.0556495
Clarkston High School,Open,WA,"401 Chestnut St, Clarkston, WA 99403",99403,"M,T,W,TH",7:30-9:00 a.m. and 11:30-12:30 p.m,46.4108623,-117.0534106
Badger Mountain Elementary – front door loop,Open,WA,"1515 Elementary St, Richland, WA 99352",99352,"M,T,W,TH",10:45am – 12:15pm,46.2725603,-119.2959368
Jason Lee Elementary – front door loop,Open,WA,"1750 McMurray Ave, Richland, WA 99354",99354,"M,T,W,TH",10:45am – 12:15pm,46.3002803,-119.2784764
Jefferson Elementary – back door drop off loop,Open,WA,"1550 George Washington Way, Richland, WA ",,"M,T,W,TH",10:45am – 12:15pm,46.308757,-119.2737108
Lewis & Clark Elementary – back door drop off loop,Open,WA,"415 Jadwin Ave, Richland, WA ",,"M,T,W,TH",10:45am – 12:15pm,46.28382819999999,-119.2771988
Marcus Whitman Elementary – front door loop,Open,WA,"1704 Gray St, Richland, WA 99352",99352,"M,T,W,TH",10:45am – 12:15pm,46.2724865,-119.2953511
Orchard Elementary – front door loop,Open,WA,"1600 Gala Way, Richland, WA 99352",99352,"M,T,W,TH",10:45am – 12:15pm,46.231602,-119.2916375
Sacajawea Elementary – back bus loop off Catskill,Open,WA,"535 Fuller St, Richland, WA 99354",99354,"M,T,W,TH",10:45am – 12:15pm,46.3087524,-119.2767932
Tapteal Elementary – side bus loop,Open,WA,"2100 Sunshine Ave, Richland, WA 99353",99353,"M,T,W,TH",10:45am – 12:15pm,46.2849251,-119.3702308
White Bluffs Elementary – back door bus loop,Open,WA,"1250 Kensington Way, Richland, WA 99352",99352,"M,T,W,TH",10:45am – 12:15pm,46.2507333,-119.3246418
William Wiley Elementary – front drop off loop,Open,WA,"2820 Highland Blvd, Richland, WA 99353",99353,"M,T,W,TH",10:45am – 12:15pm,46.2748759,-119.3573736
Chief Joseph Middle School – bus loop on Jadwin Ave,Open,WA,"504 Wilson St, Richland, WA 99352",99352,"M,T,W,TH",10:45am – 12:15pm,46.2790139,-119.283052
Enterprise Middle School – front door loop,Open,WA,"5200 Paradise Way, Richland, WA 99353",99353,"M,T,W,TH",10:45am – 12:15pm,46.2860974,-119.3635794
Leona Libby Middle School – side door bus loop,Open,WA,"3259 Belmont Blvd, Richland, WA 99353",99353,"M,T,W,TH",10:45am – 12:15pm,46.2827938,-119.367823
Hanford High School – front door loop,Open,WA,"450 Hanford St, Richland, WA ",,"M,T,W,TH",10:45am – 12:15pm,46.5506839,-119.4889741
Richland High School – drop off loop on Thayer Avenue,Open,WA,"930 Long Ave, Richland, WA ",,"M,T,W,TH",10:45am – 12:15pm,46.2820945,-119.2862685
Amistad Elementary School,Open,WA,"123 Kent St, Kennewick, WA 99336",99336,"M,T,W,TH",11am – 12:30pm,46.2108778,-119.1332927
Amon Creek Elementary School,Open,WA,"18 Center Pkwy, Kennewick, WA 99336",99336,"M,T,W,TH",11am – 12:30pm,46.2185023,-119.2164359
Canyon View Elementary School,Open,WA,"1229 22nd Pl, Kennewick, WA ",,"M,T,W,TH",11am – 12:30pm,,
Eastgate Elementary School,Open,WA,"910 10th Ave, Kennewick, WA ",,"M,T,W,TH",11am – 12:30pm,46.19943,-119.1872021
Lincoln Elementary School,Open,WA,"4901 20th Ave, Kennewick, WA ",,"M,T,W,TH",11am – 12:30pm,46.18982889999999,-119.1717695
Park Middle School,Open,WA,"1011 10th Ave, Kennewick, WA ",,"M,T,W,TH",11am – 12:30pm,46.19943,-119.1872021
